id, statetime, region, name, email, gold, power, level
1,2022-12-19 15:23:07,2,Name#1,email1@abc.com,56607,248393,21
2,2022-12-20 09:17:42,9,Name#2,email2@abc.com,817140,442325,23
3,2022-12-19 14:48:21,4,Name#3,email3@abc.com,439538,127484,2
4,2022-12-22 11:40:03,1,Name#4,email4@abc.com,127421,903944,8
5,2022-12-23 20:45:53,8,Name#5,email5@abc.com,812273,76871,8
6,2022-12-19 03:30:07,9,Name#6,email6@abc.com,961522,650901,6
7,2022-12-17 14:41:49,7,Name#7,email7@abc.com,210210,190395,43
8,2022-12-23 11:03:45,6,Name#8,email8@abc.com,770958,803118,2
9,2022-12-20 19:01:38,9,Name#9,email9@abc.com,585129,335923,38
10,2022-12-19 08:52:59,2,Name#10,email10@abc.com,315122,603718,33
11,2022-12-20 19:01:33,2,Name#11,email11@abc.com,527514,532843,45
12,2022-12-19 21:45:43,7,Name#12,email12@abc.com,528186,776215,26
13,2022-12-22 21:55:04,7,Name#13,email13@abc.com,159254,696222,47
14,2022-12-23 09:15:50,8,Name#14,email14@abc.com,598862,365192,13
15,2022-12-18 15:13:07,3,Name#15,email15@abc.com,180565,822015,43
16,2022-12-17 21:26:45,2,Name#16,email16@abc.com,442622,64443,2
17,2022-12-21 14:42:14,3,Name#17,email17@abc.com,65841,611630,48
18,2022-12-19 11:10:45,7,Name#18,email18@abc.com,694705,660074,40
19,2022-12-18 19:00:38,3,Name#19,email19@abc.com,827499,434724,34
20,2022-12-19 07:24:41,2,Name#20,email20@abc.com,526082,137938,42
21,2022-12-20 16:17:48,8,Name#21,email21@abc.com,590628,834835,47
22,2022-12-17 12:09:30,1,Name#22,email22@abc.com,629823,335541,19
23,2022-12-18 04:43:20,3,Name#23,email23@abc.com,857354,180665,36
24,2022-12-24 03:08:42,9,Name#24,email24@abc.com,341195,331223,10
25,2022-12-21 17:54:24,5,Name#25,email25@abc.com,362548,859161,23
26,2022-12-21 02:57:03,6,Name#26,email26@abc.com,81933,438961,22
